Date,OFI,MACD,RSI,LSTM,RSI_MACD,LSTM_RSI,LSTM_OFI,LSTM_MACD
2025-06-16,20.90268068382143,28.748179026745902,47.485157947784344,60.742685334024436,53.94360430336178,71.00571628145752,66.54661966123957,60.248322557555426
2025-06-17,21.065831079011435,27.714671742975177,45.15633538382293,61.37145998953026,53.29068819824643,74.91705269209945,68.8721382064462,60.216038261624796
2025-06-18,21.652047926017033,28.177408424319516,39.73221103593553,60.63960803373841,54.58443538440801,74.01048901515139,70.36685411666902,60.08681232585924
2025-06-19,22.91794405776818,28.910638704826845,38.320655222465696,62.66022556691622,54.93320910117824,58.512550793149984,71.95416515787605,70.51824339959344
2025-06-20,20.807017268836542,29.44837743880031,49.72033251090755,64.72596742074401,54.51682472069008,90.92884527972049,73.71092770743391,73.2327851100921
2025-06-23,21.866953494124523,31.371087460610184,49.5286087740325,63.89289119044772,57.74494654400562,76.24320717592592,76.53690697638137,69.5788943928238
2025-06-24,22.530539330350805,29.07873885791397,45.767883016333144,61.208338117073716,53.68488535138341,83.13329512903744,68.92164939928958,57.69899565256114
2025-06-25,23.291837580102,29.89793729491403,42.277136076416355,62.93592015345727,56.93220539258032,64.82913267736812,76.98347393949477,62.765744285549786
2025-06-26,20.980580165139457,29.95627364643027,45.5715656817821,61.52870011681013,56.682238066126175,92.7269115375947,72.94353753506925,70.00571623805169
2025-06-27,20.62357052013191,27.69627645770686,44.703524027985615,61.58988291057024,56.31159009934992,73.16637924069573,75.54545708332067,69.34189998889154
2025-06-30,21.151331976583158,28.71485230659522,39.18856706030953,60.41455701286117,53.54876085330332,68.17857850279795,69.03234974864861,54.77773368277334
